time,Image_u,Image_v,time,camera_x,camera_y,camera_z,time,recognition
2.0391361713409424,638,383,2.0391361713409424,0.004440851732488661,0.06673184258007467,1.1563465276936997,2.2771410942077637,4.245272744571324
2.2771410942077637,638,383,2.2771410942077637,0.004432981103254798,0.06675880488491967,1.1571553992924077,2.3876020908355713,9.474007097084593
2.3876020908355713,318,203,2.3876020908355713,-0.2257181040438213,-0.062161724330774534,1.1615800324477794,2.457900047302246,12.013450423046738
2.47186017036438,318,203,2.457900047302246,-0.22560946074902596,-0.062135088363200176,1.1610580367582866,2.552057981491089,12.318616091751473
2.552057981491089,318,203,2.552057981491089,-0.22529940113560512,-0.06202994080398795,1.1594258041314973,2.6436359882354736,10.705380888936533
2.6436359882354736,318,203,2.6436359882354736,-0.22543508720599262,-0.06207854862825216,1.1601389294441067,2.687268018722534,20.695340678643504
2.687268018722534,318,203,2.687268018722534,-0.2256237282964576,-0.062145155782769405,1.1611081788069224,2.7569780349731445,15.729446134114374
2.7569780349731445,318,203,2.7569780349731445,-0.22531970847803945,-0.06203351856625297,1.1595695267117978,2.8112270832061768,17.26761630300535
2.8112270832061768,318,203,2.8112270832061768,-0.22562568505243774,-0.06213597018884011,1.1611434514289418,2.867767095565796,18.90748445902999
2.867767095565796,318,203,2.867767095565796,-0.22546542825583524,-0.06207431074842592,1.1603074515692728,2.896986961364746,33.778178655413456
2.896986961364746,318,203,2.896986961364746,-0.2258406621234615,-0.062216674825217026,1.1622827168313963,2.947113037109375,19.802761043228646
2.947113037109375,318,203,2.947113037109375,-0.22567047785711936,-0.062150346573794514,1.1614613515763954,2.9991791248321533,18.434880450070324
2.9991791248321533,318,203,2.9991791248321533,-0.2254679364091005,-0.062069517993526536,1.1603351368267336,3.069895029067993,11.244029220561625
3.069895029067993,318,203,3.069895029067993,-0.22573736275241646,-0.062155192948733,1.161747449588314,3.137624979019165,17.56394000050251
3.137624979019165,318,203,3.137624979019165,-0.22567713956102503,-0.06213912004674635,1.1614768427930482,3.2272441387176514,11.091875538818751
3.2272441387176514,318,203,3.2272441387176514,-0.22556989269369548,-0.062108725131123324,1.160805425192302,3.307451009750366,13.605633894192561
3.307451009750366,318,203,3.307451009750366,-0.22561391917544488,-0.062134501019057785,1.1610905475970177,3.4071719646453857,9.991505215740364
3.4176840782165527,318,203,3.4071719646453857,-0.22545016473836074,-0.062084990014461834,1.160167127309839,3.45917010307312,20.49010498341467
3.45917010307312,318,203,3.45917010307312,-0.22539470876720386,-0.06204388143798877,1.1599294739455954,3.5078699588775635,20.7344218857366
3.5078699588775635,318,203,3.5078699588775635,-0.22574639960328813,-0.06215811761052663,1.1617002638033394,3.557190179824829,14.724502548691952
3.557190179824829,318,203,3.557190179824829,-0.22539641267063562,-0.062059029373597314,1.1599692846360787,3.628209114074707,16.96958319509965
3.628209114074707,318,203,3.628209114074707,-0.2251347849821618,-0.061964570256367625,1.1585374936097619,3.6975879669189453,15.880537339653788
3.6770219802856445,318,203,3.6975879669189453,-0.2253766209961093,-0.06203958944193147,1.1597818361654824,3.750411033630371,18.7367837965817
3.7598490715026855,318,203,3.750411033630371,-0.22543136035925807,-0.06208180298859872,1.1601947970721866,3.8093631267547607,17.13912577996984
3.8093631267547607,318,203,3.8093631267547607,-0.22551636168712277,-0.062106708332413135,1.1605510150282166,3.857187032699585,16.39373377943154
3.857187032699585,318,203,3.857187032699585,-0.22570894677552172,-0.06216384491422901,1.1616164548021102,3.927945137023926,17.786945311439815
3.918596029281616,318,203,3.927945137023926,-0.22547792675971734,-0.06207493476874985,1.1603606805227151,3.9972591400146484,13.546093427035965
3.9972591400146484,318,203,3.9972591400146484,-0.2254672566154681,-0.06208604451846004,1.1602881890430479,4.0770180225372314,11.986396968467258
4.091403007507324,318,203,4.0770180225372314,-0.2256538528915884,-0.06213207431858186,1.1611796991482144,4.147351026535034,14.696384334803799
4.147351026535034,318,203,4.147351026535034,-0.2255480757111177,-0.06211941480254203,1.1607509121248167,4.187201023101807,24.33978052842627
4.187201023101807,318,203,4.187201023101807,-0.22529307696514841,-0.06202244445008046,1.1593797926320821,4.237627029418945,22.351859056003494
4.237627029418945,318,203,4.237627029418945,-0.22574370731674773,-0.06215342109912928,1.1617809551286455,4.288748025894165,17.864446195455418
4.288748025894165,318,203,4.288748025894165,-0.22526271415773047,-0.062021714670892944,1.1592746870746642,4.347174167633057,17.787247035673694
4.347174167633057,318,203,4.347174167633057,-0.22521603888829128,-0.061992461333741616,1.1589873937603077,4.431318044662476,12.37794559882899
4.431318044662476,318,203,4.431318044662476,-0.2256555031663187,-0.06214506336467171,1.1612817952284418,4.46736216545105,23.338252150591483
4.46736216545105,318,203,4.46736216545105,-0.22560652982856655,-0.062130366726184404,1.161026365291899,4.538475036621094,14.137658590516253
4.538475036621094,318,203,4.538475036621094,-0.2252668290007343,-0.0619941507355873,1.159225713145366,4.608356952667236,15.205237705096321
4.587193012237549,318,203,4.608356952667236,-0.22539676667235714,-0.062061546467383294,1.1599765243158886,4.647168159484863,24.274137821273346
4.647168159484863,318,203,4.647168159484863,-0.22519145976061197,-0.0620042659803745,1.1588975747900054,4.7282021045684814,12.605879913201854
4.7282021045684814,318,203,4.7282021045684814,-0.2256532853760931,-0.06214589361596659,1.161320199512411,4.777102947235107,19.471982618545788
4.777102947235107,318,203,4.777102947235107,-0.22522330097903492,-0.06201309035334522,1.1589846916090196,4.837021112442017,15.727440782640324
4.837021112442017,318,203,4.837021112442017,-0.22523366091242888,-0.06199711248132479,1.1591109732293892,4.917418956756592,13.171576078081625
