timestamp,hz_camera_info,x_offset,y_offset
1689819977.120596,1.7142130824131787,0,0
1689819977.157306,27.24051619439772,0,0
1689819977.18742,33.207217335539596,0,0
1689819977.214577,36.82282603924323,0,0
1689819977.244562,33.35006281506926,0,0
1689819977.288414,22.803929777251003,0,0
1689819977.326087,26.54421183201276,0,0
1689819977.348278,45.06321715587262,0,0
1689819977.378372,33.22931636864914,0,0
1689819977.417488,25.56489196355103,0,0
1689819977.441954,40.873383552432834,0,0
1689819977.506994,15.375127383631845,476,193
1689819977.538944,31.29890752790878,476,193
1689819977.571768,30.46547641529991,476,193
1689819977.613496,23.964712604273796,476,193
1689819977.625087,86.27414842850091,476,193
1689819977.654678,33.79396361409672,476,193
1689819977.697951,23.109112947658403,476,193
1689819977.716951,52.63209145323813,476,193
1689819977.750015,30.244258405982073,476,193
1689819977.786319,27.545176331516384,476,193
1689819977.822076,27.966501306875767,476,193
1689819977.853817,31.505088972515793,476,193
1689819977.879729,38.592088919150186,476,193
1689819977.912589,30.432098675857066,476,193
1689819977.948895,27.54372923206241,476,193
1689819977.985168,27.568713027474693,476,193
1689819978.01734,31.08296341309777,476,193
1689819978.050711,29.966163694558755,476,193
1689819978.095301,22.42655488065703,476,193
1689819978.122703,36.49347010867201,476,193
1689819978.168089,22.033304966327314,476,193
1689819978.194471,37.904675836390915,476,193
1689819978.225047,32.70514479983781,477,194
1689819978.263678,25.885971733629574,476,193
1689819978.288033,41.05944083326807,476,193
1689819978.318186,33.16415620972397,476,193
1689819978.353987,27.932232285562065,476,193
1689819978.383026,34.43655889259265,476,193
1689819978.427246,22.6140947739024,476,193
1689819978.483046,17.921159450013246,476,193
1689819978.515653,30.66841177803938,477,194
1689819978.56093,22.086211072846567,476,193
1689819978.574935,71.40334689569465,476,193
1689819978.600913,38.49397944199706,476,193
1689819978.641444,24.672521603068255,476,193
1689819978.690055,20.571507045500248,476,193
1689819978.714896,40.25591461834515,476,193
1689819978.741581,37.474237212419034,476,193
1689819978.771215,33.74502389495873,476,193
1689819978.802931,31.529719530621602,476,193
1689819978.841041,26.23981982545591,476,193
1689819978.873747,30.575408772479754,476,193
1689819978.90665,30.39240607224376,476,193
1689819978.959831,18.80373178156256,476,193
1689819978.996644,27.164301674168584,476,193
1689819979.014477,56.075831918392446,476,193
1689819979.049746,28.353493905860244,476,193
1689819979.079223,33.924891818659766,476,193
1689819979.115171,27.81792979035264,476,193
1689819979.171077,17.887149394209487,476,193
1689819979.194246,43.161044680894854,476,193
1689819979.225704,31.788516340265566,476,193
1689819979.247019,46.915102570412294,476,193
1689819979.283507,27.4062283556148,476,193
1689819979.312044,35.04247568759817,476,193
1689819979.349504,26.695078252789287,476,193
1689819979.387045,26.63760494862122,476,193
1689819979.411293,41.24030519940219,476,193
1689819979.443282,31.260883499414927,476,193
1689819979.477932,28.859956100816746,476,193
1689819979.511963,29.385046519448494,476,193
1689819979.545809,29.545466712688697,476,193
1689819979.579811,29.409977912561793,476,193
1689819979.613361,29.806449778990604,476,193
1689819979.647754,29.075623028664516,476,193
1689819979.683883,27.67859782493929,476,193
1689819979.726201,23.630547339361673,476,193
1689819979.766264,24.960746506700946,476,193
1689819979.809038,23.37870874603555,476,193
1689819979.82186,77.99003346969134,476,193
1689819979.863008,24.302548859415833,476,193
1689819979.892434,33.98371427876941,476,193
