x,y,z,w
0.9908601063142136,-0.024912863326665396,0.018345047959618055,0.13129759392773147
0.9907522733059968,-0.025332529276224782,0.01572590809137965,0.13236650525782587
0.9908567811478274,-0.024930140921589707,0.01939143925058899,0.13116897274426942
0.9908955830037466,-0.02477217157810873,0.018524618278981782,0.13103099486987044
0.9908244285201226,-0.02507279048709371,0.014572562365327038,0.13200737650249378
0.9908194722638556,-0.025122988955847334,0.017836017607971266,0.13163390628780694
0.9908582734860345,-0.02531554689923895,0.014680040926369552,0.13169472786663633
0.9907208573363049,-0.02502790392966447,0.01722504820785068,0.13247295791195213
0.9905945897485162,-0.025231363304245955,0.01768574263793191,0.1333152338411585
0.9907076491507328,-0.025071273364861334,0.015583185400820472,0.1327665225079595
0.9906359606975673,-0.02512228249105209,0.018344606001186137,0.1329388570956924
0.9907886036369623,-0.02516124273330305,0.015257117861307026,0.13218197729569833
0.9908105691949166,-0.02513440993756265,0.018600191866734065,0.13159297196756575
0.9908542352333551,-0.02495080355366411,0.016244499841810877,0.13161101073633114
0.9906735005754317,-0.02525078909765058,0.016687832736645435,0.13285303589350042
0.9906841938982485,-0.02539505355296665,0.016885917915200766,0.13272070294939228
0.9905773486022101,-0.02530749874769888,0.015849217138944514,0.13365945256297024
0.9905983569726445,-0.025585445734895813,0.01629225933703404,0.13339731037520414
0.990767596234179,-0.025195227502765895,0.015263291703510472,0.13233216800840303
0.9907116835619812,-0.024945362703722787,0.015934394445262387,0.1327184388358573
0.9906567141285698,-0.025105300508403285,0.018324970666574427,0.1327900376098938
0.9908315069977687,-0.025103128364203826,0.015599304489676743,0.13183102588654616
0.9905612153480973,-0.025435669475099516,0.012799212826453892,0.13408089169407125
0.9905274093726241,-0.02519639303505787,0.01746146027812896,0.13384950677733698
0.9907358464987617,-0.025232800414657273,0.017122701994320186,0.1323351855026843
0.9907336894059583,-0.025345787179491673,0.014934521165034336,0.1325945241172551
0.9906322799091432,-0.025243218519722176,0.014090884088923126,0.13346127867801588
0.9907690432063458,-0.025095883266458962,0.01632298184428246,0.13221369040598466
0.9907657516646802,-0.025183630057165864,0.017372359656023385,0.13208789204710178
0.9908159517276999,-0.025037754649800948,0.01609063394632511,0.1319012969732823
