timestamp,cpu_usage_core_1,cpu_usage_core_2,cpu_usage_core_3,cpu_usage_core_4
1663915656.739351,46.6,69.3,48.1,71.4
1663915657.739123,99.0,94.9,99.0,95.9
1663915658.738696,100.0,100.0,100.0,100.0
1663915659.738882,99.0,99.0,100.0,100.0
1663915660.739291,100.0,99.0,100.0,100.0
1663915661.739908,100.0,100.0,100.0,99.0
1663915662.739133,100.0,100.0,100.0,100.0
1663915663.738312,99.0,100.0,100.0,100.0
1663915664.742364,99.0,100.0,100.0,100.0
1663915665.739897,100.0,99.0,99.0,100.0
1663915666.738511,100.0,100.0,100.0,100.0
1663915667.739185,100.0,100.0,100.0,99.0
1663915668.739659,100.0,100.0,100.0,100.0
1663915669.739869,100.0,100.0,100.0,100.0
1663915670.740098,100.0,99.0,99.0,100.0
1663915671.739201,100.0,100.0,100.0,100.0
1663915672.738926,100.0,100.0,100.0,100.0
1663915673.738651,99.0,100.0,100.0,100.0
1663915674.739175,100.0,100.0,100.0,100.0
1663915675.742307,100.0,100.0,99.0,100.0
1663915676.739767,100.0,100.0,100.0,100.0
1663915677.739068,100.0,100.0,100.0,100.0
1663915678.74034,100.0,99.0,100.0,100.0
1663915679.742881,100.0,99.0,100.0,100.0
1663915680.739383,100.0,100.0,100.0,100.0
1663915681.740785,99.0,100.0,99.0,99.0
1663915682.738416,100.0,100.0,100.0,100.0
1663915683.740082,100.0,100.0,100.0,100.0
1663915684.738585,100.0,100.0,100.0,99.0
1663915685.738337,100.0,100.0,99.0,100.0
1663915686.738951,100.0,100.0,100.0,100.0
1663915687.740127,100.0,99.0,99.0,100.0
1663915688.738597,100.0,100.0,100.0,99.0
1663915689.740103,100.0,100.0,99.0,99.0
1663915690.738391,100.0,99.0,100.0,100.0
1663915691.739571,99.0,100.0,99.0,100.0
1663915692.740957,100.0,99.0,99.0,100.0
1663915693.7396,100.0,100.0,100.0,100.0
1663915694.739806,100.0,100.0,100.0,100.0
1663915695.740317,100.0,100.0,100.0,100.0
1663915696.740732,100.0,99.0,100.0,100.0
1663915697.739186,100.0,100.0,100.0,100.0
1663915698.741102,100.0,100.0,100.0,100.0
1663915699.739,100.0,99.0,100.0,99.0
1663915700.739363,99.0,100.0,100.0,100.0
1663915701.73987,100.0,100.0,100.0,100.0
1663915702.738351,100.0,100.0,99.0,100.0
1663915703.738724,100.0,100.0,100.0,100.0
1663915704.739559,98.0,100.0,100.0,100.0
1663915705.738847,100.0,99.0,100.0,100.0
1663915706.738397,100.0,100.0,100.0,100.0
1663915707.73959,100.0,100.0,99.0,100.0
