timestamp,hz_positions,u,v
1690087567.783672,1.134830186892498,600,322
1690087567.894435,9.028299104769326,600,322
1690087567.942102,20.97886260191067,600,322
1690087567.973639,31.708730230729685,600,322
1690087568.010666,27.00740492717415,600,322
1690087568.040982,32.985757540010226,600,322
1690087568.071047,33.26120124978192,600,322
1690087568.102022,32.28424082883049,600,322
1690087568.130229,35.45211268796119,600,322
1690087568.158004,36.00353657175721,600,322
1690087568.187188,34.265509860627745,600,322
1690087568.216897,33.659719602917924,600,322
1690087568.252085,28.418811700058946,600,322
1690087568.281573,33.91200012936402,600,322
1690087568.313536,31.286300368486224,600,322
1690087568.350236,27.24794875626092,600,322
1690087568.384535,29.15525402993167,600,322
1690087568.409888,39.443134157121634,600,322
1690087568.455747,21.806037037422147,600,322
1690087568.483034,36.64747924858017,600,322
1690087568.510701,36.144083278756334,600,322
1690087568.544811,29.316856320071576,600,322
1690087568.583958,25.54480675298732,600,322
1690087568.610104,38.246514384717095,600,322
1690087568.653078,23.269886710384696,600,322
1690087568.677783,40.4777456089558,600,322
1690087568.714958,26.899841588476363,600,322
1690087568.741553,37.600889303259585,600,322
1690087568.7719,32.952327079601524,600,322
1690087568.806316,29.056286412979475,600,322
1690087568.83792,31.64151270774082,600,322
1690087568.875236,26.798096029134587,600,322
1690087568.904621,34.03114021209097,600,322
1690087568.940657,27.750016540298784,600,322
1690087568.975694,28.541223223277715,600,322
1690087569.006421,32.544510742634564,600,322
1690087569.044596,26.19524472729317,600,322
1690087569.071277,37.47992994245273,600,322
1690087569.110001,25.823655808054376,600,322
1690087569.143167,30.15142191678408,600,322
1690087569.181758,25.9128393322707,600,322
1690087569.211436,33.69487222744399,600,322
1690087569.244819,29.95546286905969,600,322
1690087569.288033,23.14060456930368,600,322
1690087569.3154,36.54052358757677,600,322
1690087569.35839,23.26111117273201,600,322
1690087569.384224,38.70891052558719,600,322
1690087569.42281,25.916041571409153,600,322
1690087569.447951,39.775664065093075,600,322
1690087569.483089,28.459305599848012,600,322
1690087569.520147,26.984642900799702,600,322
1690087569.550724,32.704379761245704,600,322
1690087569.578155,36.45509065308464,600,322
1690087569.617857,25.187686912239823,600,322
1690087569.657222,25.40324270633339,600,322
1690087569.683977,37.37639237911922,600,322
1690087569.717061,30.225950347710157,600,322
1690087569.750751,29.68241971324643,600,322
1690087569.780439,33.68377770639255,600,322
1690087569.817,27.351540287450767,600,322
1690087569.852189,28.41784896405003,600,322
1690087569.885386,30.12327094614976,600,322
1690087569.916014,32.64989919276368,600,322
1690087569.956857,24.483993742265394,600,322
1690087569.99216,28.326111621373386,600,322
1690087570.028054,27.859873796081036,600,322
1690087570.055957,35.838337577114345,600,322
1690087570.084067,35.57449407134739,600,322
1690087570.124874,24.505594278936883,600,322
1690087570.161123,27.587027012805926,600,322
1690087570.190824,33.66890628135661,600,322
1690087570.214858,41.60768208241573,600,322
1690087570.253249,26.047856517391924,600,322
1690087570.288602,28.285995602972715,600,322
1690087570.322881,29.17249054084131,600,322
1690087570.358844,27.80631132325643,600,322
1690087570.391203,30.90341357028654,600,322
1690087570.421879,32.59863987875491,600,322
1690087570.452757,32.385696967825126,600,322
1690087570.490105,26.775172519454323,600,322
1690087570.520605,32.78669866408186,600,322
1690087570.555303,28.820097022001733,600,322
1690087570.591208,27.851363914048182,600,322
1690087570.62157,32.93576656091968,600,322
1690087570.653551,31.26857415497473,600,322
1690087570.690968,26.72586626565905,600,322
1690087570.731505,24.66889380322778,600,322
1690087570.758199,37.461518537373955,600,322
1690087570.792323,29.304771287038783,600,322
1690087570.827311,28.58128790459966,600,322
1690087570.862,28.82762412712377,600,322
1690087570.888982,37.06165006936406,600,322
1690087570.924694,28.00178920734109,600,322
1690087570.958521,29.562334367070765,600,322
1690087570.990592,31.18070712777662,600,322
1690087571.023948,29.97965762481684,600,322
1690087571.060202,27.583217151124558,600,322
1690087571.086708,37.72704295030358,600,322
1690087571.128803,23.755821000345495,600,322
1690087571.154682,38.64150943396226,600,322
1690087571.190655,27.798571068782227,600,322
1690087571.216224,39.10991757114617,600,322
1690087571.251778,28.12628416619726,600,322
1690087571.286706,28.630256861821582,600,322
1690087571.320239,29.821284341049996,600,322
1690087571.35697,27.224956348459376,600,322
1690087571.384531,36.283220443083415,600,322
1690087571.420061,28.145157826927207,600,322
1690087571.45094,32.384696753271825,600,322
1690087571.485183,29.202957681756786,600,322
1690087571.525461,24.827475168404977,600,322
1690087571.553188,36.06576322487446,600,322
1690087571.598502,22.068315268862463,600,322
1690087571.637967,25.338786557038343,600,322
1690087571.664396,37.83731315008435,600,322
1690087571.692599,35.45720758800257,600,322
1690087571.723,32.8936640760405,600,322
1690087571.772777,20.089587125203565,600,322
1690087571.797899,39.805863204547826,600,322
1690087571.840932,23.23804247256126,600,322
1690087571.867911,37.065580289680895,600,322
1690087571.903086,28.429406102999987,600,322
1690087571.928437,39.44610175867582,600,322
1690087571.963515,28.50785710401827,600,322
1690087571.996978,29.883751086538325,600,322
1690087572.029281,30.95701464336325,600,322
1690087572.058311,34.4470232668917,600,322
1690087572.096312,26.315055085702813,600,322
1690087572.137263,24.419420008034418,600,322
1690087572.162855,39.07493944475498,600,322
1690087572.197489,28.873266972312862,600,322
1690087572.231283,29.591116253474624,600,322
1690087572.256757,39.25560151994459,600,322
1690087572.292921,27.65177376502311,600,322
1690087572.332332,25.373736396029063,600,322
1690087572.361027,34.84914752899731,600,322
1690087572.391749,32.550067128677526,600,322
1690087572.434034,23.648934070828894,600,322
1690087572.467362,30.004964696287924,600,322
1690087572.505288,26.367164760833077,600,322
1690087572.530936,38.989216925708334,600,322
1690087572.562715,31.467270858497574,600,322
1690087572.605394,23.43081873435824,600,322
1690087572.635771,32.91948104951692,600,322
1690087572.669983,29.229617756716262,600,322
1690087572.693937,41.74641438823143,600,322
1690087572.732093,26.2081755583049,600,322
1690087572.76609,29.4145154390468,600,322
1690087572.803088,27.02846353612878,600,322
1690087572.834974,31.361627037535516,600,322
1690087572.8684,29.916789706060673,600,322
1690087572.902174,29.60866311821429,600,322
1690087572.934797,30.653170699622162,600,322
1690087572.973996,25.510935941415468,600,322
1690087572.998708,40.46602990834539,600,322
1690087573.034577,27.879318023197847,600,322
1690087573.067053,30.7917923870352,600,322
1690087573.098936,31.3646757947161,600,322
1690087573.128583,33.73036960787467,600,322
1690087573.167793,25.503645285451086,600,322
1690087573.209689,23.868703193644578,600,322
1690087573.233912,41.28292601305131,600,322
1690087573.267034,30.191356425095737,600,322
1690087573.301987,28.609946590451763,600,322
1690087573.338229,27.592289980922306,600,322
1690087573.36782,33.79396361409672,600,322
1690087573.403692,27.876909170665567,600,322
1690087573.44141,26.512499920986592,600,322
1690087573.469101,36.112963218074114,600,322
1690087573.501566,30.802420539333763,600,322
1690087573.538236,27.270270797438315,600,322
1690087573.565954,36.07755165235941,600,322
1690087573.606965,24.383645422148327,600,322
1690087573.632309,39.45723424270931,600,322
1690087573.66836,27.738454721610488,600,322
1690087573.694624,38.075000680834066,600,322
1690087573.733193,25.927576188415653,600,322
1690087573.768066,28.67547242048842,600,322
1690087573.798103,33.292090328213675,600,322
1690087573.835151,26.992110174399897,600,322
1690087573.865424,33.03277836407454,600,322
1690087573.895126,33.667554984748755,600,322
1690087573.9334,26.12752597612937,600,322
1690087573.968472,28.512701984323908,600,322
1690087573.997761,34.142502462412594,600,322
1690087574.049311,19.398675398675397,600,322
1690087574.076791,36.38993579732778,600,322
1690087574.113666,27.1186370542786,600,322
1690087574.146923,30.0688508136784,600,322
1690087574.176978,33.272283039822305,600,322
1690087574.202706,38.86817840627925,600,322
1690087574.24388,24.287209894844118,600,322
1690087574.26964,38.81997315933176,600,322
1690087574.316081,21.532661149557466,600,322
1690087574.341311,39.63546332520648,600,322
1690087574.381634,24.799730380128544,600,322
1690087574.408274,37.53762440037231,600,322
1690087574.439067,32.47496419031396,600,322
1690087574.475644,27.33941700995985,600,322
1690087574.500185,40.74829984844363,600,322
1690087574.535957,27.954758429475003,600,322
1690087574.571247,28.336637007911254,600,322
1690087574.613694,23.5588732552588,600,322
1690087574.64036,37.50070632834433,600,322
1690087574.671954,31.65178018926302,600,322
1690087574.708331,27.48975271502258,600,322
1690087574.73507,37.398721366728786,600,322
1690087574.768917,29.544634240834007,600,322
1690087574.8031,29.254285993276326,600,322
1690087574.83479,31.555813026174228,600,322
1690087574.873332,25.94569984597017,600,322
1690087574.905331,31.251100862062543,600,322
1690087574.942348,27.014536812206543,600,322
1690087574.985279,23.293148067930648,600,322
1690087575.011853,37.630913609488694,600,322
1690087575.039755,35.83956250534051,600,322
1690087575.077606,26.419481222993486,600,322
1690087575.113482,27.8737597607576,600,322
1690087575.145425,31.305682233782907,600,322
1690087575.171088,38.966758951299724,600,322
1690087575.20465,29.79565103112191,600,322
1690087575.240802,27.660891758390324,600,322
1690087575.276014,28.399377073600107,600,322
1690087575.311316,28.32706815158003,600,322
1690087575.347718,27.471027829264937,600,322
1690087575.379426,31.537780183919455,600,322
1690087575.406863,36.4471710737841,600,322
1690087575.44426,26.740178764966146,600,322
1690087575.475218,32.30164500030805,600,322
1690087575.510026,28.729093462104867,600,322
1690087575.543832,29.58047294295205,600,322
1690087575.574118,33.018736026702776,600,322
1690087575.603351,34.20766150408195,600,322
1690087575.644415,24.35235783875425,600,322
1690087575.687233,23.354626041249052,600,322
1690087575.713834,37.592464126625615,600,322
1690087575.74433,32.791312573782925,600,322
1690087575.780897,27.347081950538882,600,322
1690087575.814512,29.748524738992284,600,322
1690087575.844937,32.86763000344795,600,322
1690087575.882821,26.39636997551873,600,322
1690087575.913476,32.62120457939273,600,322
1690087575.945206,31.51597850997483,600,322
1690087575.979968,28.76692523473454,600,322
1690087576.016169,27.623546147868122,600,322
1690087576.043866,36.105191574344275,600,322
1690087576.085724,23.890183748561796,600,322
1690087576.111841,38.28945975059794,600,322
1690087576.147909,27.725436277102062,600,322
1690087576.171632,42.15296174951257,600,322
1690087576.205817,29.25265375012205,600,322
1690087576.240586,28.761204673871305,600,322
1690087576.27389,30.026444837386443,600,322
1690087576.31075,27.129687843624275,600,322
1690087576.338091,36.5752555024591,600,322
1690087576.373552,28.199845362557568,600,322
1690087576.408032,29.0024408964244,600,322
1690087576.439055,32.23412234860129,600,322
1690087576.477459,26.03896249022213,600,322
1690087576.508564,32.14912926171204,600,322
1690087576.545728,26.907779852062845,600,322
1690087576.576578,32.414980601882625,600,322
1690087576.608705,31.126329303678638,600,322
1690087576.642747,29.37557955484585,600,322
1690087576.677783,28.54200010887909,600,322
1690087576.7239,21.683946047386897,600,322
1690087576.761544,26.564722275001582,600,322
1690087576.800548,25.638338580029952,600,322
1690087576.826738,38.18245045471511,600,322
1690087576.856963,33.08541318272174,600,322
1690087576.881912,40.08164825503612,600,322
1690087576.917135,28.39053446688688,600,322
1690087576.952505,28.272458258343274,600,322
1690087576.990823,26.097450798608733,600,322
1690087577.044481,18.63654702343396,600,322
1690087577.073433,34.54006736224914,600,322
1690087577.108058,28.880821880078223,600,322
1690087577.145295,26.855061050178318,600,322
1690087577.193399,20.788271387717273,600,322
1690087577.229089,28.018998630548783,600,322
1690087577.263899,28.727322539108517,600,322
1690087577.291746,35.91075189643658,600,322
1690087577.317846,38.31394329143525,600,322
1690087577.350305,30.808076801598318,600,322
1690087577.389061,25.802527160205223,600,322
1690087577.4227,29.727440251750632,600,322
1690087577.459258,27.353680805551207,600,322
1690087577.488756,33.90076218649725,600,322
1690087577.518087,34.09365728359737,600,322
1690087577.563978,21.790742982424238,600,322
1690087577.592938,34.53039920307573,600,322
