x,y
960,691
960,691
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
