Detection timestamp,AprilTag Detection [Hz],Window size timestamp,window size
1690251942.19447,0.830224144271968,1690251941.57375,0
1690251942.30016,9.46216648506219,1690251941.57883,0
1690251942.54923,4.01485599638555,1690251941.5834,0
1690251942.5566,135.795124162269,1690251941.5931,0
1690251942.56259,166.837867939539,1690251941.59784,0
1690251942.56938,147.380582592502,1690251941.60288,0
1690251942.57882,105.898048324791,1690251941.60827,0
1690251942.58538,152.442538344116,1690251941.61607,0
1690251942.59297,131.647959824231,1690251941.62092,0
1690251942.59928,158.478954129827,1690251941.62826,0
1690251942.6078,117.398718056372,1690251941.63443,0
1690251942.61503,138.389336148872,1690251942.03623,0
1690251942.62255,133.013160815653,1690251942.04469,0
1690251942.63183,107.676019818756,1690251942.05171,0
1690251942.63758,174.066401062417,1690251942.05921,0
1690251942.64535,128.750468121681,1690251942.06726,0
1690251943.03663,2.55568852351136,1690251942.0746,0
1690251943.04577,109.45755369399,1690251942.0821,0
1690251943.0518,165.75000987947,1690251942.08997,0
1690251943.05835,152.697830202417,1690251942.09761,0
1690251943.07065,81.261338758113,1690251942.10692,0
1690251943.07668,165.973012544023,1690251942.1128,0
1690251943.08172,198.256003025147,1690251942.12075,0
1690251943.08847,148.213859146966,1690251942.129,0
1690251943.09621,129.198620009857,1690251942.13941,0
1690251943.10252,158.3533053951,1690251942.14988,0
1690251943.11645,71.7883134221066,1690251942.54566,10201
1690251943.12274,159.158501878344,1690251942.55014,10609
1690251943.12919,154.891391853466,1690251942.55613,10609
1690251943.13488,175.839684735673,1690251942.5641,11025
1690251943.14188,142.818850449469,1690251942.57209,11025
1690251943.53589,2.53800007503319,1690251942.58,11025
1690251943.54602,98.7173790246658,1690251942.58788,11449
1690251943.55154,181.093389750011,1690251942.59548,11449
1690251943.55768,162.866617481458,1690251942.60319,11881
1690251943.56458,145.011201770156,1690251942.61086,11881
1690251943.57326,115.193320699789,1690251942.61742,12321
1690251943.57983,152.182576829578,1690251942.62512,12321
1690251943.588,122.457855245102,1690251942.63309,12321
1690251943.59518,139.276241075876,1690251942.64067,12769
1690251943.60274,132.22483528262,1690251943.0311,12769
1690251943.61044,129.935068153656,1690251943.03942,13225
1690251943.61791,133.74693877551,1690251943.04452,13225
1690251943.62748,104.601326749464,1690251943.05152,13225
1690251943.6362,114.560908991587,1690251943.0625,13689
1690251944.02991,2.53999198210386,1690251943.06886,13689
1690251944.03896,110.472357573682,1690251943.07574,14161
1690251944.04458,177.905666779776,1690251943.0836,14161
1690251944.05167,141.046642230218,1690251943.09062,14641
1690251944.06136,103.175833907311,1690251943.09716,14641
1690251944.07037,111.02504102917,1690251943.10555,14641
1690251944.07732,143.822789150636,1690251943.11166,15129
1690251944.08249,193.428518723483,1690251943.12063,15129
1690251944.0908,120.321982845176,1690251943.12878,15625
1690251944.0998,111.195758218452,1690251943.13514,15625
