timestamp,hz_camera_info,x_offset,y_offset
1690087338.922973,1.6506145476526295,0,0
1690087338.951965,34.49206427525863,0,0
1690087338.979277,36.614208146376384,0,0
1690087339.010497,32.03054670973753,0,0
1690087339.042413,31.33234228513801,0,0
1690087339.081537,25.559750880571364,0,0
1690087339.124307,23.380924243268854,0,0
1690087339.148453,41.41458983372171,0,0
1690087339.176045,36.24246299544626,0,0
1690087339.21058,28.95598925792711,0,0
1690087339.246394,27.92219100749597,0,0
1690087339.280175,29.60239399243408,0,0
1690087339.338955,17.01260236634069,0,0
1690087339.360379,46.676504301182966,0,0
1690087339.39776,26.7516056815935,0,0
1690087339.421197,42.667534739883216,0,0
1690087339.452752,31.690522243713733,0,0
1690087339.491136,26.052548542181697,0,0
1690087339.518243,36.89083952680417,0,0
1690087339.551762,29.833799230380755,0,0
1690087339.587115,28.286186362379535,0,0
1690087339.617374,33.04813457826104,0,0
1690087339.651691,29.14006224988884,0,0
1690087339.697149,21.998290194844362,0,0
1690087339.714156,58.7997532664162,0,0
1690087339.756029,23.88175006263238,0,0
1690087339.784385,35.26581129029546,0,0
1690087339.820153,27.95792617082828,0,0
1690087339.849193,34.435145275567926,0,0
1690087339.899835,19.746450227863356,0,0
1690087339.920011,49.56400075628663,0,0
1690087339.947168,36.82282603924323,0,0
1690087339.985004,26.429969438230568,0,0
1690087340.018757,29.62685860804826,0,0
1690087340.048145,34.02755107007837,0,0
1690087340.087825,25.201610286606982,0,0
1690087340.110016,45.06321715587262,0,0
1690087340.146533,27.384577215123755,0,0
1690087340.176939,32.88824765549039,0,0
1690087340.216615,25.204184769218752,0,0
1690087340.242816,38.16646799217435,0,0
1690087340.279625,27.167292794776795,0,0
1690087340.317656,26.294268841606378,0,0
1690087340.350785,30.185055378437312,0,0
1690087340.382977,31.063626197018287,0,0
1690087340.415787,30.478537950078117,0,0
1690087340.450574,28.746420665218256,0,0
1690087340.48542,28.697642913345422,0,0
1690087340.514299,34.627325039008646,0,0
1690087340.553924,25.236486161251506,0,0
1690087340.594443,24.67978040470965,0,0
1690087340.621317,37.210926479590476,0,0
1690087340.652676,31.888572949137078,0,0
1690087340.703113,19.82672490404069,0,0
1690087340.726812,42.19621730382294,0,0
1690087340.758147,31.913078544309094,0,0
1690087340.801577,23.02551068022991,0,0
1690087340.815407,72.30685951695484,0,0
1690087340.86298,21.020392412358735,0,0
1690087340.885636,44.13802393004094,0,0
1690087340.91904,29.93664796653962,0,0
1690087340.955397,27.50507567610104,0,0
1690087340.985568,33.14423889938126,0,0
1690087341.016017,32.8418942620897,0,0
