x,y
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,510
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
640,511
