timestamp,hz_positions,u,v
1689320850.149348,1.2513060343245899,665,287
1689320850.247215,10.217947593572466,665,287
1689320850.279227,31.23829952036226,665,287
1689320850.301604,44.68871462666212,665,287
1689320850.321751,49.63497153947197,665,287
1689320850.352825,32.18144291929136,665,287
1689320850.385171,30.91571398034923,665,287
1689320850.417011,31.406950362044824,665,287
1689320850.452105,28.494880940249327,665,287
1689320850.481563,33.9465829259607,665,287
1689320850.519235,26.545051801502463,665,287
1689320850.547682,35.15290489121325,665,287
1689320850.580618,30.36204512715085,665,287
1689320850.622356,23.95896311021238,665,287
1689320850.657844,28.17843706331291,665,287
1689320850.697318,25.33312395056956,665,287
1689320850.725023,36.09462750531397,665,287
1689320850.751009,38.48232455295294,665,287
1689320850.791937,24.433076049282032,665,287
1689320850.814259,44.798974632843795,665,287
1689320850.845073,32.45285237885224,665,287
1689320850.879884,28.7265355322996,665,287
1689320850.919753,25.08209995036568,665,287
1689320850.947865,35.57208040030532,665,287
1689320850.981648,29.600722673893404,665,287
1689320851.017067,28.2334441766852,665,287
1689320851.046219,34.3027814807848,665,287
1689320851.081759,28.137416563244223,665,287
1689320851.121135,25.39616723683812,665,287
1689320851.147547,37.86156345910814,665,287
1689320851.188643,24.333284987439736,665,287
1689320851.2169,35.38929623098406,665,287
1689320851.246704,33.55255305702881,665,287
1689320851.282356,28.04897850001672,665,287
1689320851.314998,30.635483164122416,665,287
1689320851.347947,30.349961649227918,665,287
1689320851.385208,26.837705715236364,665,287
1689320851.419238,29.385664142139518,665,287
1689320851.450935,31.54892964060596,665,287
1689320851.4809,33.37208691708505,665,287
1689320851.521034,24.916558746301995,665,287
1689320851.552205,32.08101513679718,665,287
1689320851.582603,32.897017992439096,665,287
1689320851.620207,26.592849489294522,665,287
1689320851.655379,28.43171865891189,665,287
1689320851.692625,26.848528686924293,665,287
1689320851.720435,35.95847157566249,665,287
1689320851.748684,35.399451407351144,665,287
1689320851.787021,26.084466750001553,665,287
1689320851.821552,28.959387989008107,665,287
1689320851.857235,28.024614973440684,665,287
