timestamp,cpu_usage_core_1,cpu_usage_core_2,cpu_usage_core_3,cpu_usage_core_4
1663915771.795323,6.7,14.2,4.7,6.3
1663915772.795245,21.1,16.2,14.0,16.0
1663915773.796705,87.9,86.1,84.2,90.0
1663915774.795884,100.0,100.0,100.0,100.0
1663915775.794491,100.0,100.0,100.0,100.0
1663915776.794416,100.0,100.0,100.0,100.0
1663915777.794401,100.0,100.0,100.0,100.0
1663915778.797136,100.0,100.0,100.0,100.0
1663915779.795129,100.0,100.0,100.0,100.0
1663915780.794266,100.0,100.0,100.0,99.0
1663915781.795289,100.0,100.0,100.0,100.0
1663915782.794455,100.0,100.0,100.0,100.0
1663915783.795811,100.0,100.0,100.0,100.0
1663915784.795228,100.0,100.0,100.0,100.0
1663915785.795368,100.0,100.0,100.0,100.0
1663915786.794513,100.0,99.0,100.0,100.0
1663915787.794919,100.0,100.0,100.0,99.0
1663915788.795788,100.0,100.0,100.0,100.0
1663915789.795596,100.0,100.0,100.0,100.0
1663915790.79453,100.0,100.0,100.0,100.0
1663915791.79507,100.0,100.0,100.0,99.0
1663915792.794357,100.0,100.0,100.0,100.0
1663915793.797723,100.0,100.0,99.0,100.0
1663915794.796806,100.0,100.0,100.0,100.0
1663915795.794512,100.0,100.0,100.0,100.0
1663915796.795278,100.0,100.0,100.0,100.0
1663915797.794922,99.0,100.0,100.0,100.0
1663915798.795713,100.0,100.0,100.0,100.0
1663915799.795382,100.0,100.0,100.0,100.0
1663915800.794853,100.0,100.0,100.0,100.0
1663915801.794579,100.0,100.0,100.0,100.0
1663915802.794568,100.0,100.0,100.0,100.0
1663915803.795335,100.0,99.0,100.0,100.0
1663915804.798903,100.0,100.0,100.0,100.0
1663915805.795668,100.0,100.0,100.0,100.0
1663915806.795609,100.0,100.0,100.0,99.0
1663915807.795018,100.0,100.0,100.0,100.0
1663915808.794283,100.0,100.0,100.0,100.0
1663915809.795554,100.0,100.0,100.0,100.0
1663915810.796267,100.0,100.0,100.0,100.0
1663915811.795392,100.0,100.0,100.0,100.0
1663915812.794509,100.0,100.0,100.0,100.0
1663915813.797012,100.0,100.0,100.0,100.0
1663915814.79547,100.0,100.0,100.0,100.0
1663915815.79594,100.0,100.0,100.0,100.0
1663915816.795278,100.0,100.0,100.0,100.0
1663915817.795506,100.0,100.0,100.0,100.0
1663915818.794697,100.0,100.0,100.0,100.0
1663915819.794291,100.0,100.0,100.0,100.0
1663915820.795453,100.0,100.0,100.0,100.0
1663915821.794848,100.0,100.0,99.0,100.0
1663915822.794809,100.0,100.0,100.0,100.0
1663915823.795121,100.0,99.0,100.0,100.0
