timestamp,hz_positions,u,v
1663915773.538743,0.3641277355023379,457,331
1663915773.931463,2.5463435541926933,457,331
1663915774.123592,5.204839131994039,457,331
1663915774.311666,5.3170528877845955,457,331
1663915774.528977,4.601701869950453,457,331
1663915774.803573,3.641713964709018,457,331
1663915774.972602,5.9161446571663525,457,331
1663915775.112962,7.1245309684005615,457,331
1663915775.270761,6.337175553027316,457,331
1663915775.465057,5.146789441134028,457,331
1663915775.658308,5.174613906044508,457,331
1663915775.895517,4.2156901963661655,457,331
1663915776.10274,4.825720584106881,457,331
1663915776.310378,4.816073542565883,457,331
1663915776.452419,7.040222370304971,457,331
1663915776.679829,4.397347105237223,457,331
1663915776.886425,4.840361581347148,457,331
1663915777.17425,3.47433494170515,457,331
1663915777.430257,3.906140223436633,457,331
1663915777.559247,7.752542867863289,457,331
1663915777.682629,8.104903942400222,457,331
1663915777.847184,6.077001650263043,457,331
1663915777.984765,7.268439686200844,457,331
1663915778.13952,6.461831890541975,457,331
1663915778.287668,6.75000402331592,457,331
1663915778.504247,4.617253670747844,457,331
1663915778.664376,6.24496225600405,457,331
1663915778.826334,6.174441079874754,457,331
1663915778.967581,7.079794677204005,457,331
1663915779.165573,5.050712997237603,457,331
1663915779.405807,4.162605757159232,457,331
1663915779.592056,5.369155833765369,457,331
1663915779.83898,4.049830352021968,457,331
1663915779.984242,6.88411270481377,457,331
1663915780.130768,6.824722775902046,457,331
1663915780.266311,7.3777396272347975,457,331
1663915780.39964,7.500235147695999,457,331
1663915780.509717,9.084557804269476,457,331
1663915780.622492,8.867206609543501,457,331
1663915780.788266,6.0323138301697385,457,331
1663915780.920385,7.56893748409718,457,331
1663915781.070544,6.659602135872077,457,331
1663915781.194159,8.0896314026219,457,331
1663915781.391799,5.059705993760872,457,331
1663915781.664641,3.665125805893487,457,331
1663915781.878717,4.6712373315513975,457,331
1663915782.103832,4.442172800071171,457,331
1663915782.305032,4.970178719128231,457,331
1663915782.464152,6.284561835666274,457,330
1663915782.695448,4.323467594382167,457,331
1663915782.839208,6.956039490988817,457,331
1663915783.00023,6.210324323043756,457,331
1663915783.232085,4.313042047569591,457,331
1663915783.476426,4.092642753990867,457,331
1663915783.709932,4.282541484751826,457,331
1663915783.86744,6.348888041220884,457,330
1663915784.01018,7.0057441602151345,457,331
1663915784.156479,6.835322071242556,457,331
1663915784.307459,6.62338355517586,457,331
1663915784.460564,6.531474629691918,457,330
1663915784.73969,3.5826092898508635,457,331
1663915785.051081,3.2113978751489203,457,330
1663915785.331816,3.5620779150190915,457,331
1663915785.598264,3.753077228686679,457,331
1663915785.750141,6.584278623210019,457,331
1663915785.874605,8.034449467473756,457,330
1663915786.032474,6.334361799649929,457,331
1663915786.18116,6.725585840412807,457,331
1663915786.372909,5.215148448127084,457,331
1663915786.576461,4.912749382436964,457,331
1663915786.781971,4.8659456060586725,457,331
1663915786.891804,9.10473155578903,457,331
1663915787.150756,3.861721002133276,457,331
1663915787.445097,3.3974189911190744,457,331
1663915787.662891,4.591495948522924,457,330
1663915787.891218,4.379682835372826,457,331
1663915788.034015,7.002948571962854,457,330
1663915788.194537,6.229676300131595,457,330
1663915788.38848,5.156153498160933,457,331
1663915788.617538,4.365705982582158,457,331
1663915788.822006,4.8907405658342284,457,331
1663915789.091226,3.7144327221878317,457,330
1663915789.298627,4.82158220121347,457,331
1663915789.487276,5.300844737201296,457,330
1663915789.753828,3.751613595706619,457,331
1663915789.993551,4.171481822946659,457,331
1663915790.124581,7.631835219622257,457,330
1663915790.314604,5.262522364726341,457,331
1663915790.472317,6.340633956970262,457,331
1663915790.612125,7.152669607791308,457,331
1663915790.754953,7.001428895744027,457,331
1663915790.881116,7.926253765359075,457,331
1663915791.049432,5.941201384196757,457,331
1663915791.22681,5.6376796594518375,457,330
1663915791.460525,4.2787144792465766,457,330
1663915791.689118,4.374589586019016,457,330
1663915791.861017,5.817366785159994,457,331
1663915791.996509,7.380504843435188,457,331
1663915792.153555,6.36756753474278,457,330
1663915792.302607,6.709061535262409,457,331
1663915792.530652,4.385099687398718,457,331
1663915792.678372,6.769570452337221,457,331
1663915792.892799,4.663591928590172,457,330
1663915793.050644,6.335328147420889,457,330
1663915793.176789,7.927377332065751,457,331
1663915793.384052,4.824787996190143,457,331
1663915793.667184,3.5319205552308888,457,331
1663915793.811423,6.932940153591346,457,330
1663915794.008843,5.065345955927197,457,331
1663915794.170266,6.194905303393954,457,331
1663915794.356594,5.366874936821592,457,331
1663915794.552051,5.1162152997172505,457,330
1663915794.752093,4.998949986710955,457,331
1663915794.934476,5.482972512611622,457,331
1663915795.073231,7.206943181993914,457,331
1663915795.259707,5.362620615058487,457,330
1663915795.406351,6.819230331506983,457,331
1663915795.622929,4.617274002250125,457,331
1663915795.802121,5.580611640732585,457,331
1663915795.925168,8.126968379975082,457,331
1663915796.18248,3.8863316485135444,457,331
1663915796.472475,3.44833585047442,457,331
1663915796.677039,4.888449107986802,457,331
1663915796.849838,5.787066829292522,457,331
1663915797.088628,4.187779439633052,457,331
1663915797.295593,4.831735543283176,457,331
1663915797.516944,4.517713560667505,457,331
1663915797.799571,3.5382310464441415,457,331
1663915798.026008,4.416242254499892,457,331
1663915798.243606,4.595626253871869,457,331
1663915798.423354,5.563349811716674,457,331
1663915798.582417,6.286813188460322,457,331
1663915798.734665,6.568234848271304,457,331
1663915798.887791,6.530569538362369,457,331
1663915799.078755,5.236589546806898,457,331
1663915799.238404,6.2637358370531215,457,331
1663915799.419569,5.519830600596688,457,331
1663915799.616475,5.078563091184718,457,331
1663915799.822432,4.8553839457495895,457,331
1663915799.999061,5.661582320513582,457,331
1663915800.163076,6.0970101522252325,457,331
1663915800.320243,6.362660534036402,457,331
1663915800.484767,6.078137679983306,457,331
1663915800.633829,6.708610839203343,457,331
1663915800.818443,5.4167089614594355,457,331
1663915801.078386,3.8469971016619584,457,331
1663915801.239147,6.220418817108619,457,331
1663915801.415973,5.655276932079572,457,331
1663915801.543688,7.829927045452848,457,331
1663915801.716703,5.779849712750989,457,331
1663915801.859871,6.984802411364052,457,331
1663915802.018069,6.321187706376944,457,331
1663915802.178113,6.2482834852586056,457,331
1663915802.363589,5.391531256146016,457,331
1663915802.56545,4.953906262918317,457,331
1663915802.74223,5.656748967252845,457,331
1663915802.939469,5.069987102326779,457,331
1663915803.128254,5.2970355673820215,457,331
1663915803.27656,6.742809557569356,457,331
1663915803.509832,4.2868441036658345,457,331
1663915803.658183,6.740761454767529,457,331
1663915803.806655,6.735284293825955,457,331
1663915804.042818,4.234361055585842,457,331
1663915804.258805,4.629908987046246,457,331
1663915804.47399,4.647165644933084,457,331
1663915804.715016,4.14893128744055,457,331
1663915804.926792,4.721969979273923,457,331
