timestamp,hz_positions,u,v
1689823661.871099,0.9827140153352255,657,374
1689823662.022028,6.625633054362901,657,374
1689823662.06712,22.17683075133506,657,374
1689823662.11166,22.451764857023562,657,374
1689823662.147298,28.059862052355882,657,374
1689823662.202335,18.169666567030987,657,374
1689823662.269905,14.799421333051058,657,374
1689823662.312476,23.49026350424239,657,374
1689823662.374583,16.101222283643512,657,374
1689823662.416394,23.917157064002556,657,374
1689823662.47745,16.37843389160715,657,374
1689823662.514981,26.6445428384482,657,374
1689823662.587164,13.853697850090997,657,374
1689823662.655594,14.613434047460604,657,374
1689823662.728304,13.753304455891948,657,374
1689823662.792125,15.668804751853859,657,374
1689823662.871644,12.575605573161992,657,374
1689823662.908791,26.920041590182663,657,374
1689823662.972353,15.732691167975753,657,374
1689823663.029366,17.53984861790658,657,374
1689823663.116511,11.475115796154993,657,374
1689823663.465294,2.867114042577044,657,374
1689823663.535925,14.158083767654128,657,374
1689823663.623482,11.421121280031368,657,374
1689823663.658454,28.594342902722197,657,374
1689823663.862614,4.89811972080172,657,374
1689823663.948031,11.707266967189092,657,374
1689823664.025719,12.87200434559778,657,374
1689823664.14519,8.37022698154852,657,374
1689823664.280581,7.386015485911413,657,374
1689823664.33693,17.746531553449408,657,374
1689823664.382614,21.889568503016513,657,374
1689823664.533986,6.606233097758548,657,374
1689823667.008015,0.40419900915780727,657,374
1689823667.077208,14.452302931944027,657,374
1689823667.144658,14.825786657052166,657,374
1689823667.206185,16.253023486512983,657,374
1689823667.264144,17.25362303936289,657,374
1689823667.349196,11.75751119882041,657,374
1689823667.43155,12.142690884667273,657,374
1689823667.481402,20.059418252078014,657,374
1689823667.520028,25.88916733534967,657,374
1689823670.019933,0.40001522122128175,657,374
1689823670.093803,13.537305580748338,657,374
1689823670.154362,16.51281284079322,657,374
1689823670.198662,22.57332300008611,657,374
1689823670.252881,18.44371644291613,657,374
1689823670.306371,18.695109938356072,657,374
1689823670.374937,14.584470090789917,657,374
1689823670.437823,15.901790622642297,657,374
1689823670.499676,16.167382338202984,657,374
1689823670.563198,15.742552480754867,657,374
1689823673.022824,0.40656588298711016,657,374
1689823673.092891,14.272068381187006,657,374
1689823673.159133,15.096167204748074,657,374
1689823673.194475,28.29496407730968,657,374
1689823673.245959,19.42346948226359,657,374
1689823673.273524,36.27788541378356,657,374
1689823673.320485,21.294234118059187,657,374
1689823673.396843,13.096231905778911,657,374
1689823673.478012,12.319954882977724,657,374
1689823673.512222,29.231247430080774,657,374
1689823673.578691,15.044617652650194,657,374
1689823673.60314,40.901284289155214,657,374
1689823676.063834,0.40638944401930915,657,374
1689823676.129015,15.34189012725457,657,374
1689823676.164989,27.797834126426572,657,374
1689823676.196561,31.673531033128686,657,374
1689823676.243127,21.474891455722126,657,374
1689823676.284566,24.131962464112494,657,374
1689823676.358288,13.564449101428465,657,374
1689823676.435715,12.915406217667636,657,374
1689823676.520424,11.805130947522482,657,374
1689823676.590633,14.243182852369277,657,374
1689823679.081602,0.4014501695176113,657,374
1689823679.149669,14.69144252223347,657,374
1689823679.190254,24.639620269524045,657,374
1689823679.238928,20.54480441235538,657,374
1689823679.272945,29.397197866509668,657,374
1689823679.313417,24.70842169753523,657,374
1689823679.367501,18.48973528180035,657,374
1689823679.412911,22.02162099725406,657,374
1689823679.465953,18.85292280031464,657,374
1689823679.51967,18.616115931736978,657,374
1689823679.5626,23.29379488062379,657,374
1689823682.07862,0.39745311099177644,657,374
1689823682.141639,15.86822083754223,657,374
1689823682.188655,21.26939791783934,657,374
1689823682.267787,12.637099884303895,657,374
1689823682.315774,20.83898406136969,657,374
1689823682.367876,19.19308842640895,657,374
1689823682.435546,14.777625886100033,657,374
1689823682.515307,12.537451201941758,657,374
1689823682.571941,17.65725351519744,657,374
1689823682.616273,22.55705542588549,657,374
1689823685.107249,0.4014490552226182,657,374
1689823685.165581,17.14325886324807,657,374
1689823685.237549,13.895049295028093,657,374
1689823685.29969,16.09245006484089,657,374
1689823685.350565,19.656039552920777,657,374
1689823685.409938,16.842632785739813,657,374
1689823685.449787,25.094855747944813,657,374
1689823685.510699,16.41709069843904,657,374
1689823685.549366,25.86187037939093,657,374
1689823685.574135,40.372936499533154,657,374
1689823685.622036,20.87642787104738,657,374
1689823688.137592,0.3975264161989467,657,374
1689823688.203175,15.24785603926202,657,374
1689823688.267735,15.489482391869535,657,374
1689823688.320659,18.89504863072633,657,374
1689823688.404981,11.859304666470628,657,374
1689823688.446637,24.006135601369063,657,374
