time,Image_u,Image_v,time,camera_x,camera_y,camera_z,time,recognition
2.0403828620910645,139,184,2.0403828620910645,-0.31018769323909057,-0.06635803669874554,1.016920347410739,2.1000630855560303,16.659136043722096
2.1000630855560303,139,184,2.1000630855560303,-0.3101627453263027,-0.06636559777153472,1.0168375218723433,2.160615921020508,15.470057980850092
2.1744370460510254,139,184,2.160615921020508,-0.3101340953344814,-0.06636002034755673,1.016754210683478,2.220072031021118,20.49310838475783
2.220072031021118,139,184,2.220072031021118,-0.31022279276569437,-0.06637955780059447,1.017019755874857,2.2800989151000977,16.343078463690524
2.2800989151000977,139,184,2.2800989151000977,-0.3103504183096076,-0.06639821096403223,1.0174605177807368,2.3202109336853027,25.5943762356904
2.3202109336853027,139,184,2.3202109336853027,-0.31006560918541826,-0.06634063419605392,1.0164756553047343,2.3702330589294434,20.24659081583889
2.3702330589294434,139,184,2.3702330589294434,-0.3102756352004846,-0.06638814805387619,1.0172171337442035,2.4201080799102783,19.602482614222687
2.4201080799102783,139,184,2.4201080799102783,-0.31026979082781064,-0.06638044733664156,1.0171597027975945,2.470211982727051,18.60290510722285
2.470211982727051,139,184,2.470211982727051,-0.31019535108890767,-0.06635943254580573,1.0169129898094955,2.532615900039673,16.04903900238384
2.532615900039673,139,184,2.532615900039673,-0.31026256121428547,-0.06638418875320742,1.0171772305492526,2.5901639461517334,16.3939900877097
2.6033339500427246,139,184,2.5901639461517334,-0.3101729025584798,-0.06635700957874281,1.0168454081694025,2.6402149200439453,21.296072139404526
2.6402149200439453,139,184,2.6402149200439453,-0.31006707949923495,-0.06634140062395531,1.0165337798173395,2.702338933944702,18.033656946797258
2.702338933944702,139,184,2.702338933944702,-0.310109012034498,-0.06634433810867627,1.016665786818845,2.761950969696045,15.848374469114157
2.761950969696045,139,184,2.761950969696045,-0.31025480450837056,-0.0663774522170226,1.0171155865361383,2.8003859519958496,28.44772414354411
2.8003859519958496,139,184,2.8003859519958496,-0.31021214771530126,-0.06637509045034844,1.016988326365777,2.840101957321167,21.6675913728529
2.840101957321167,139,184,2.840101957321167,-0.3101334141998641,-0.06635685553353636,1.0167459790147453,2.880078077316284,23.85607762616812
2.880078077316284,139,184,2.880078077316284,-0.310253640729923,-0.0663777756888606,1.0171307171098456,2.937598943710327,19.8993433787528
2.937598943710327,139,184,2.937598943710327,-0.31011850678615627,-0.06634955354887478,1.0166833233074912,2.979990005493164,23.306738682270048
2.979990005493164,139,184,2.979990005493164,-0.3100955373505339,-0.06633980360563645,1.0166349599582005,3.010072946548462,26.61275974746994
3.020678997039795,139,184,3.010072946548462,-0.3099804669503786,-0.06632255651160204,1.0162375066726124,3.0704848766326904,18.355012909719488
3.0704848766326904,139,184,3.0704848766326904,-0.31017258134220616,-0.06636715890118038,1.016828859230748,3.1201109886169434,18.907825397040064
3.1201109886169434,139,184,3.1201109886169434,-0.3101303111897524,-0.0663583071031185,1.016722477890829,3.170685052871704,22.931096884242983
3.170685052871704,139,184,3.170685052871704,-0.31025857157360925,-0.06638266712778126,1.0171552620675972,3.200150966644287,25.53625288434024
3.200150966644287,139,184,3.200150966644287,-0.3101384701919293,-0.06635970025066977,1.0167746424388502,3.250092029571533,21.049930992948735
3.250092029571533,139,184,3.250092029571533,-0.31018247945987737,-0.06637602077378213,1.0168935064298028,3.3001720905303955,20.753401747632385
3.3001720905303955,139,184,3.3001720905303955,-0.310150335731629,-0.06636140354013888,1.0167999712610019,3.340369939804077,22.69215246030243
3.340369939804077,139,184,3.340369939804077,-0.31017157628674247,-0.06636527914015203,1.0168735108602176,3.380129098892212,26.261177722818772
3.380129098892212,139,184,3.380129098892212,-0.31013865050937733,-0.06635676608435424,1.016755177601579,3.4302849769592285,20.862513367654007
3.4302849769592285,139,184,3.4302849769592285,-0.3101749683018872,-0.06635487799027966,1.0168793974409749,3.4801809787750244,19.88858646687847
3.4801809787750244,139,184,3.4801809787750244,-0.31007385876420784,-0.0663413104286057,1.0165204332697868,3.520108938217163,25.543406636906756
3.520108938217163,139,184,3.520108938217163,-0.31008498757190067,-0.06634414739018808,1.0165956085008283,3.5601449012756348,22.945272325433816
3.5601449012756348,139,184,3.5601449012756348,-0.3102129671840287,-0.06636735765564934,1.0169633472727428,3.6100640296936035,22.599960126947177
3.6100640296936035,139,184,3.6100640296936035,-0.3101142947182386,-0.0663563731349129,1.0166541150218869,3.650080919265747,23.08558218895341
3.650080919265747,139,184,3.650080919265747,-0.31022715683742313,-0.06638166795120505,1.0170400963666841,3.6900548934936523,27.893965391112353
3.6900548934936523,139,184,3.6900548934936523,-0.3101819421940624,-0.06635756551085352,1.0168527681369603,3.7301759719848633,22.317962689029127
3.7301759719848633,139,184,3.7301759719848633,-0.31034916839973203,-0.06639692091126552,1.017415935900691,3.7801148891448975,19.24336922660476
3.7801148891448975,139,184,3.7801148891448975,-0.31027251233559067,-0.06637967129032768,1.0171813957316593,3.8201169967651367,24.306633132048354
3.8201169967651367,139,184,3.8201169967651367,-0.3102171980267001,-0.06637158313259894,1.016979831679725,3.8600950241088867,25.909477832755755
3.8600950241088867,139,184,3.8600950241088867,-0.30999166275045253,-0.06632615033266939,1.0162601110562497,3.9100420475006104,22.942009167386857
3.9100420475006104,139,184,3.9100420475006104,-0.3101874894091188,-0.06636759413405809,1.0169108754069023,3.9500670433044434,24.50387628600973
3.9500670433044434,139,184,3.9500670433044434,-0.3102478476849116,-0.06638024067750384,1.017081053419151,3.9901299476623535,26.799637074616946
